1a	1a	"DeeDeemensional"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102a
59c	7c	"Would You Like That in the Can"	John McIntyre & Chris Savino	Paul McEvoy	June 7, 2002	307c
60a	8a	"That Magic Moment"	John McIntyre & Chris Savino	Paul McEvoy	June 14, 2002	308a
60b	8b	"A Silent Cartoon"	Chris Savino	Chris Savino	June 14, 2002	308b
60c	8c	"Opposites Attract"	Chris Savino	Andy Bialk	June 14, 2002	308c
61a	9a	"Comic Relief"	Chris Savino	Clayton McKenzie Morrow	June 21, 2002	310a
61b	9b	"A Third Dad Cartoon"	Chris Savino	Chris Savino	June 21, 2002	310b
61c	9c	"Robo-Dexo 3000"	John McIntyre & Chris Savino	Kevin Kaliher	June 21, 2002	310c
62a	10a	"Glove at First Sight"	Robert Alvarez & Chris Savino	Cindy Morrow	June 28, 2002	311a
62b	10b	"A Mom & Dad Cartoon"	Chris Savino	Cindy Morrow	June 28, 2002	311b
62c	10c	"Smells Like Victory"	John McIntyre & Chris Savino	Paul McEvoy	June 28, 2002	311c
63a	11a	"Oh, Brother"	Chris Savino	Greg Miller & Walt Dohrn	July 5, 2002	309a
63b	11b	"Another Dad Cartoon"	Chris Savino	Cindy Morrow	July 5, 2002	309b
63c	11c	"Bar Exam"	John McIntyre & Chris Savino	Shellie Kvilvang	July 5, 2002	309c
64a	12a	"Jeepers, Creepers, Where Is Peepers"	David Smith	David Smith	July 12, 2002	313a
64b	12b	"Go, Dexter Family! Go!"	John McIntyre & Chris Savino	Walt Dohrn	July 12, 2002	313b
65a	13a	"Scare Tactics"	John McIntyre & Chris Savino	Walt Dohrn	September 20, 2002	312a
65b	13b	"A Mom Cartoon"	Chris Savino	Chris Savino	September 20, 2002 (rerun)	312b
65c	13c	"My Dad vs. Your Dad"	John McIntyre & Chris Savino	Cindy Morrow	September 20, 2002	312c
66a	1a	"Beau Tie"	Don Judge & Chris Savino	Walt Dohrn	November 22, 2002	402a
66b	1b	"Remember Me?"	Chris Savino	Kevin Kaliher	November 22, 2002	402b
66c	1c	"Over-Labbing"	Don Judge & Chris Savino	Clayton McKenzie Morrow	November 22, 2002	402c
67a	2a	"Sis-Tem Error"	Don Judge & Chris Savino	Mark O'Hare	April 25, 2003	401a
67b	2b	"Bad Cable Manners"	Chris Savino	Clayton McKenzie Morrow	April 25, 2003	401b
67c	2c	"Dexter's Library"	Don Judge & Chris Savino	Mark O'Hare	April 25, 2003	401c
68a	3a	"The Scrying Game"	Chris Savino	Mike Stern	May 2, 2003	405a
68b	3b	"Monstrosi-Dee Dee"	Don Judge & Chris Savino	Gabe Swarr	May 2, 2003	405b
68c	3c	"Dad Man Walking"	Don Judge & Chris Savino	Carlos Ramos	May 2, 2003	405c
69a	4a	"Dexter's Little Dilemma"	Don Judge & Chris Savino	Clayton McKenzie Morrow	May 9, 2003	403a
69b	4b	"Faux Chapeau"	Don Judge & Chris Savino	Chris Reccardi	May 9, 2003	403b
69c	4c	"D2"	Tim Walker & Chris Savino	Mark O'Hare	May 9, 2003	403c
70a	5a	"Head Band"	Don Judge & Chris Savino	Kevin Kaliher	May 16, 2003	404a
70b	5b	"Stuffed Animal House"	Chris Savino	Gabe Swarr	May 16, 2003	404b
70c	5c	"Used Ink"	Don Judge & Chris Savino	Carlos Ramos	May 16, 2003	404c
71a	6a	"School Girl Crushed"	Don Judge & Chris Savino	Charlie Bean	May 23, 2003	407a
71b	6b	"Chess Mom"	Don Judge & Chris Savino	Charlie Bean	May 23, 2003	407b
71c	6c	"Father Knows Least"	Don Judge & Chris Savino	Carlos Ramos	May 23, 2003	407c
72a	7a	"Dexter the Barbarian"	Chris Savino	Chris Savino	May 30, 2003	406a
72b	7b	"Tuber Time"	Don Judge & Chris Savino	Mark O'Hare	May 30, 2003	406b
72c	7c	"Sore Eyes"	Don Judge & Chris Savino	Bill Wray	May 30, 2003	406c
73a	8a	"Babe Sitter"	Robert Alvarez & Chris Savino	Mark O'Hare	September 5, 2003	413a
73b	8b	"Mountain Mandark"	Don Judge & Chris Savino	Kevin Kaliher	September 5, 2003	413b
73c	8c	"2Geniuses 2Gether 4Ever"	Don Judge & Chris Savino	Clayton McKenzie Morrow	September 5, 2003	413c
74a	9a	"Height Unseen"	Don Judge & Chris Savino	Kevin Kaliher	September 12, 2003	408a
74b	9b	"Bygone Errors"	Robert Alvarez & Chris Savino	Clayton McKenzie Morrow	September 12, 2003	408b
74c	9c	"Folly Calls"	Don Judge & Chris Savino	Bobby London	September 12, 2003	408c
75a	10a	"Voice Over"	Robert Alvarez & Chris Savino	Charlie Bean	September 19, 2003	409a
75b	10b	"The Blonde Leading the Blonde"	Don Judge & Chris Savino	Aaron Springer	September 19, 2003	409b
75c	10c	"Comic Stripper"	Don Judge & Chris Savino	Chris Reccardi	September 19, 2003	409c
76a	11a	"Tee Party"	Don Judge & Chris Savino	Aaron Springer	September 26, 2003	410a
76b	11b	"Dexter's Wacky Races"	Don Judge & Chris Savino	Chris Reccardi	September 26, 2003	410b
77a	12a	"The Lab of Tomorrow"	Don Judge & Chris Savino	Charlie Bean	November 4, 2003	411a
77b	12b	"Chicken Scratch"	Genndy Tartakovsky	Storyboard by: Genndy Tartakovsky	November 4, 2003[a]	411b
77c	12c	"Garage Sale"	Don Judge & Chris Savino	Clayton McKenzie Morrow	November 4, 2003	411c
78a	13a	"They Got Chops"	Chris Savino	Kevin Kaliher	November 20, 2003	412a
78b	13b	"Poetic Injustice"	Robert Alvarez & Chris Savino	Mark O'Hare	November 20, 2003	412b
78c	13c	"Comedy of Feathers"	Genndy Tartakovsky & Chris Savino	Genndy Tartakovsky	November 20, 2003	412c
